"Kafli","Undirheiti kafla","Kaflaröðun","Gr.","Málsgr.","Málsl.","Titill greinar","Efni"
"III. kafli","Alþingi",4,45,1,1,"Samkomustaður","Alþingi kemur að jafnaði saman í Reykjavík en getur þó ákveðið að koma saman á öðrum stað."
"III. kafli","Alþingi",4,46,1,1,"Þingsetning","Forseti Íslands stefnir saman Alþingi að loknum alþingiskosningum og setur reglulegt Alþingi ár hvert."
"III. kafli","Alþingi",4,46,2,1,"Þingsetning","Forseti stefnir einnig saman og setur Alþingi að tillögu forseta þess eða 1/3 hluta þingmanna."
"III. kafli","Alþingi",4,47,1,1,"Eiðstafur","Sérhver nýr alþingismaður undirritar eiðstaf að stjórnarskránni þegar kosning hans hefur verið tekin gild."
"III. kafli","Alþingi",4,48,1,1,"Sjálfstæði alþingismanna","Alþingismenn eru eingöngu bundnir við sannfæringu sína, en ekki við nein fyrirmæli frá öðrum."
"III. kafli","Alþingi",4,49,1,1,"Friðhelgi alþingismanna","Ekki má setja alþingismann í gæsluvarðhald eða höfða sakamál á hendur honum án samþykkis þingsins nema hann sé staðinn að glæp."
"III. kafli","Alþingi",4,49,2,1,"Friðhelgi alþingismanna","Alþingismaður verður ekki krafinn reikningsskapar utan þings fyrir það sem hann hefur sagt í þinginu nema Alþingi leyfi."
"III. kafli","Alþingi",4,49,3,1,"Friðhelgi alþingismanna","Alþingismanni er heimilt að afsala sér friðhelgi."
"III. kafli","Alþingi",4,50,1,1,"Hagsmunaskráning og vanhæfi","Alþingismanni er óheimilt að taka þátt í meðferð þingmáls sem varðar sérstaka og verulega hagsmuni hans eða honum nákominna."
"III. kafli","Alþingi",4,50,1,2,"Hagsmunaskráning og vanhæfi","Um hæfi þingmanna skal mælt fyrir í lögum."
"III. kafli","Alþingi",4,50,1,3,"Hagsmunaskráning og vanhæfi","Vanhæfi þingmanns hefur ekki áhrif á gildi settra laga."
"III. kafli","Alþingi",4,50,2,1,"Hagsmunaskráning og vanhæfi","Í lögum skal kveðið á um skyldu alþingismanna til að veita upplýsingar um fjárhagslega hagsmuni sína."
"III. kafli","Alþingi",4,51,1,1,"Styrkir til frambjóðenda og samtaka þeirra","Í lögum skal kveðið á um starfsemi stjórnmálasamtaka, svo og um fjármál frambjóðenda í því skyni að halda kostnaði í hófi, tryggja gegnsæi og takmarka auglýsingar í kosningabaráttu."
"III. kafli","Alþingi",4,51,2,1,"Styrkir til frambjóðenda og samtaka þeirra","Upplýsingar um framlög yfir ákveðinni lágmarksupphæð skulu birtar jafnóðum samkvæmt nánari fyrirmælum í lögum."
"III. kafli","Alþingi",4,52,1,1,"Þingforseti","Alþingi kýs sér forseta með 2/3 hlutum atkvæða í upphafi hvers kjörtímabils."
"III. kafli","Alþingi",4,52,1,2,"Þingforseti","Sitji forseti ekki út kjörtímabil skal sami háttur hafður á við kosningu nýs forseta."
"III. kafli","Alþingi",4,52,2,1,"Þingforseti","Forseti stýrir störfum Alþingis."
"III. kafli","Alþingi",4,52,2,2,"Þingforseti","Hann ber ábyrgð á rekstri þingsins og hefur æðsta vald í stjórnsýslu þess."
"III. kafli","Alþingi",4,52,2,3,"Þingforseti","Með forseta starfa varaforsetar sem eru staðgenglar hans og mynda ásamt honum forsætisnefnd."
"III. kafli","Alþingi",4,52,2,4,"Þingforseti","Um kosningu þeirra skal mælt fyrir í lögum."
"III. kafli","Alþingi",4,52,3,1,"Þingforseti","Forseti Alþingis lætur af almennum þingstörfum og hefur ekki atkvæðisrétt."
"III. kafli","Alþingi",4,52,3,2,"Þingforseti","Varamaður hans tekur sæti á þingi á meðan hann gegnir embættinu."
"III. kafli","Alþingi",4,53,1,1,"Þingsköp","Þingsköp Alþingis skulu sett með lögum."
"III. kafli","Alþingi",4,54,1,1,"Þingnefndir","Alþingi kýs fastanefndir til að fjalla um þingmál."
"III. kafli","Alþingi",4,54,2,1,"Þingnefndir","Um störf þingnefnda skal mælt fyrir í lögum."
"III. kafli","Alþingi",4,55,1,1,"Opnir fundir","Fundir Alþingis eru haldnir í heyranda hljóði."
"III. kafli","Alþingi",4,55,2,1,"Opnir fundir","Þingnefnd getur ákveðið að fundur hennar sé opinn almenningi."
"III. kafli","Alþingi",4,56,1,1,"Flutningur þingmála","Alþingismenn hafa rétt til að flytja frumvörp til laga, tillögur til ályktana og önnur þingmál."
"III. kafli","Alþingi",4,56,2,1,"Flutningur þingmála","Ráðherrar geta lagt fyrir Alþingi frumvörp til laga og tillögur til ályktana sem ríkisstjórn hefur samþykkt."
"III. kafli","Alþingi",4,57,1,1,"Meðferð lagafrumvarpa","Frumvörp alþingismanna og ríkisstjórnar eru tekin til athugunar og meðferðar í þingnefndum áður en þau eru rædd á Alþingi."
"III. kafli","Alþingi",4,57,1,2,"Meðferð lagafrumvarpa","Sama á við um þingmál að tillögu kjósenda."
"III. kafli","Alþingi",4,57,2,1,"Meðferð lagafrumvarpa","Mat á áhrifum lagasetningar skal fylgja frumvörpum samkvæmt nánari ákvæðum í lögum."
"III. kafli","Alþingi",4,57,3,1,"Meðferð lagafrumvarpa","Lagafrumvarp má ekki samþykkja fyrr en eftir minnst tvær umræður á Alþingi."
"III. kafli","Alþingi",4,57,4,1,"Meðferð lagafrumvarpa","Frumvörp sem hafa ekki hlotið lokaafgreiðslu falla niður við lok kjörtímabils."
"III. kafli","Alþingi",4,58,1,1,"Meðferð þingsályktunartillagna og annarra þingmála","Þingsályktunartillögur ríkisstjórnar eru teknar til athugunar og meðferðar í þingnefndum áður en þær eru ræddar á Alþingi."
"III. kafli","Alþingi",4,58,2,1,"Meðferð þingsályktunartillagna og annarra þingmála","Tillögu til þingsályktunar má ekki samþykkja fyrr en eftir tvær umræður á Alþingi."
"III. kafli","Alþingi",4,58,3,1,"Meðferð þingsályktunartillagna og annarra þingmála","Tillögur til þingsályktana sem hafa ekki hlotið lokaafgreiðslu falla niður við lok löggjafarþings."
"III. kafli","Alþingi",4,58,4,1,"Meðferð þingsályktunartillagna og annarra þingmála","Tillögur um þingrof eða vantraust á ráðherra eru ræddar og afgreiddar við eina umræðu."
"III. kafli","Alþingi",4,58,5,1,"Meðferð þingsályktunartillagna og annarra þingmála","Að öðru leyti skal kveðið á um meðferð þingmála í lögum."
"III. kafli","Alþingi",4,59,1,1,"Ályktunarbærni","Alþingi getur því aðeins gert samþykkt um mál að meira en helmingur þingmanna sé á fundi og taki þátt í atkvæðagreiðslu."
"III. kafli","Alþingi",4,60,1,1,"Staðfesting laga","Þegar Alþingi hefur samþykkt frumvarp undirritar forseti Alþingis það og leggur innan tveggja vikna fyrir forseta Íslands til staðfestingar, og veitir undirskrift hans því lagagildi."
"III. kafli","Alþingi",4,60,2,1,"Staðfesting laga","Forseti Íslands getur ákveðið innan viku frá móttöku frumvarps að synja því staðfestingar."
"III. kafli","Alþingi",4,60,2,2,"Staðfesting laga","Skal sú ákvörðun vera rökstudd og tilkynnt forseta Alþingis."
"III. kafli","Alþingi",4,60,2,3,"Staðfesting laga","Frumvarpið fær þá engu að síður lagagildi, en innan þriggja mánaða skal bera lögin undir þjóðaratkvæði til samþykktar eða synjunar."
"III. kafli","Alþingi",4,60,2,4,"Staðfesting laga","Einfaldur meirihluti ræður hvort lögin halda gildi sínu."
"III. kafli","Alþingi",4,60,2,5,"Staðfesting laga","Atkvæðagreiðsla fer þó ekki fram felli Alþingi lögin úr gildi innan fimm daga frá synjun forseta."
"III. kafli","Alþingi",4,60,2,6,"Staðfesting laga","Um framkvæmd þjóðaratkvæðagreiðslu skal að öðru leyti mælt fyrir í lögum."
"III. kafli","Alþingi",4,61,1,1,"Birting laga","Birta skal lög, stjórnvaldsfyrirmæli og þjóðréttarsamninga sem ríkið hefur fullgilt."
"III. kafli","Alþingi",4,61,1,2,"Birting laga","Lögum og stjórnvaldsfyrirmælum má aldrei beita með íþyngjandi hætti fyrr en eftir birtingu þeirra."
"III. kafli","Alþingi",4,61,1,3,"Birting laga","Um birtingarhátt og gildistöku fer að landslögum."
"III. kafli","Alþingi",4,62,1,1,"Lögrétta","Alþingi kýs í Lögréttu fimm menn til fimm ára."
"III. kafli","Alþingi",4,62,2,1,"Lögrétta","Þingnefnd eða 1/5 hluti alþingismanna getur óskað eftir áliti Lögréttu um hvort frumvarp til laga samrýmist stjórnarskrá og þjóðréttarlegum skuldbindingum ríkisins."
"III. kafli","Alþingi",4,62,2,2,"Lögrétta","Ekki má afgreiða frumvarpið fyrr en álit Lögréttu liggur fyrir."
"III. kafli","Alþingi",4,62,3,1,"Lögrétta","Um störf Lögréttu skal mælt fyrir í lögum."
"III. kafli","Alþingi",4,63,1,1,"Stjórnskipunar- og eftirlitsnefnd","Stjórnskipunar- og eftirlitsnefnd Alþingis kannar hvers kyns athafnir og ákvarðanir ráðherra eða stjórnsýslu þeirra eftir því sem hún telur efni til."
"III. kafli","Alþingi",4,63,1,2,"Stjórnskipunar- og eftirlitsnefnd","Nefndinni er skylt að hefja slíka könnun að kröfu þriðjungs þingmanna."
"III. kafli","Alþingi",4,64,1,1,"Rannsóknarnefndir","Alþingi getur skipað nefndir til að rannsaka mikilvæg mál er almenning varða."
"III. kafli","Alþingi",4,64,2,1,"Rannsóknarnefndir","Nánari reglur um hlutverk, rannsóknarheimildir og skipan rannsóknarnefnda skulu settar með lögum."
"III. kafli","Alþingi",4,65,1,1,"Málskot til þjóðarinnar","Tíu af hundraði kjósenda geta krafist þjóðaratkvæðis um lög sem Alþingi hefur samþykkt."
"III. kafli","Alþingi",4,65,1,2,"Málskot til þjóðarinnar","Kröfuna ber að leggja fram innan þriggja mánaða frá samþykkt laganna."
"III. kafli","Alþingi",4,65,1,3,"Málskot til þjóðarinnar","Lögin falla úr gildi, ef kjósendur hafna þeim, en annars halda þau gildi sínu."
"III. kafli","Alþingi",4,65,1,4,"Málskot til þjóðarinnar","Alþingi getur þó ákveðið að fella lögin úr gildi áður en til þjóðaratkvæðis kemur."
"III. kafli","Alþingi",4,65,2,1,"Málskot til þjóðarinnar","Þjóðaratkvæðagreiðslan skal fara fram innan árs frá því að krafa kjósenda var lögð fram."
"III. kafli","Alþingi",4,66,1,1,"Þingmál að frumkvæði kjósenda","Tveir af hundraði kjósenda geta lagt fram þingmál á Alþingi."
"III. kafli","Alþingi",4,66,2,1,"Þingmál að frumkvæði kjósenda","Tíu af hundraði kjósenda geta lagt frumvarp til laga fyrir Alþingi."
"III. kafli","Alþingi",4,66,2,2,"Þingmál að frumkvæði kjósenda","Alþingi getur lagt fram gagntillögu í formi annars frumvarps."
"III. kafli","Alþingi",4,66,2,3,"Þingmál að frumkvæði kjósenda","Hafi frumvarp kjósenda ekki verið dregið til baka skal bera það undir þjóðaratkvæði svo og frumvarp Alþingis komi það fram."
"III. kafli","Alþingi",4,66,2,4,"Þingmál að frumkvæði kjósenda","Alþingi getur ákveðið að þjóðaratkvæðagreiðslan skuli vera bindandi."
"III. kafli","Alþingi",4,66,3,1,"Þingmál að frumkvæði kjósenda","Atkvæðagreiðsla um frumvarp að tillögu kjósenda skal fara fram innan tveggja ára frá því málið hefur verið afhent Alþingi."
"III. kafli","Alþingi",4,67,1,1,"Framkvæmd undirskriftasöfnunar og þjóðaratkvæðagreiðslu","Mál sem lagt er í þjóðaratkvæðagreiðslu að kröfu eða frumkvæði kjósenda samkvæmt ákvæðum 65. og 66. gr. skal varða almannahag."
"III. kafli","Alþingi",4,67,1,2,"Framkvæmd undirskriftasöfnunar og þjóðaratkvæðagreiðslu","Á grundvelli þeirra er hvorki hægt að krefjast atkvæðagreiðslu um fjárlög, fjáraukalög, lög sem sett eru til að framfylgja þjóðréttarskuldbindingum né heldur um skattamálefni eða ríkisborgararétt."
"III. kafli","Alþingi",4,67,1,3,"Framkvæmd undirskriftasöfnunar og þjóðaratkvæðagreiðslu","Þess skal gætt að frumvarp að tillögu kjósenda samrýmist stjórnarskrá."
"III. kafli","Alþingi",4,67,1,4,"Framkvæmd undirskriftasöfnunar og þjóðaratkvæðagreiðslu","Rísi ágreiningur um hvort mál uppfylli framangreind skilyrði skera dómstólar þar úr."
"III. kafli","Alþingi",4,67,2,1,"Framkvæmd undirskriftasöfnunar og þjóðaratkvæðagreiðslu","Í lögum skal kveðið á um framkvæmd málskots eða frumkvæðis kjósenda, svo sem um form og fyrirsvar fyrir kröfunni, tímalengd til söfnunar undirskrifta og um fyrirkomulag þeirra, hverju megi til kosta við kynningu, hvernig afturkalla megi kröfuna að fengnum viðbrögðum Alþingis svo og um hvernig haga skuli atkvæðagreiðslu."
"III. kafli","Alþingi",4,68,1,1,"Frumvarp til fjárlaga","Fyrir hvert reglulegt Alþingi skal, þegar það er saman komið, leggja frumvarp til fjárlaga fyrir það fjárhagsár, sem í hönd fer."
"III. kafli","Alþingi",4,68,1,2,"Frumvarp til fjárlaga","Skal í frumvarpinu fólgin greinargerð um tekjur ríkisins og gjöld eftir því sem nánar er ákveðið í lögum."
"III. kafli","Alþingi",4,69,1,1,"Greiðsluheimildir","Enga greiðslu má inna af hendi nema heimild sé til þess í fjárlögum."
"III. kafli","Alþingi",4,69,2,1,"Greiðsluheimildir","Að fengnu samþykki fjárlaganefndar Alþingis getur fjármálaráðherra þó innt greiðslu af hendi án slíkrar heimildar, til að mæta greiðsluskyldu ríkisins vegna ófyrirséðra atvika eða ef almannahagsmunir krefjast þess."
"III. kafli","Alþingi",4,69,2,2,"Greiðsluheimildir","Leita skal heimildar fyrir slíkum greiðslum í fjáraukalögum."
"III. kafli","Alþingi",4,70,1,1,"Réttur fjárlaganefndar til upplýsinga","Fjárlaganefnd Alþingis getur krafið stofnanir ríkisins, ríkisfyrirtæki og þá aðra, sem fá framlög úr ríkissjóði, um upplýsingar sem tengjast ráðstöfun þess fjár."
"III. kafli","Alþingi",4,71,1,1,"Skattar","Skattamálum skal skipað með lögum."
"III. kafli","Alþingi",4,71,1,2,"Skattar","Engan skatt má á leggja né breyta né taka af nema með lögum."
"III. kafli","Alþingi",4,71,2,1,"Skattar","Ekki má fela stjórnvöldum ákvörðun um hvort leggja skuli á skatt, breyta honum eða afnema hann."
"III. kafli","Alþingi",4,71,3,1,"Skattar","Enginn skattur verður lagður á nema heimild hafi verið fyrir honum í lögum þegar þau atvik urðu sem ráða skattskyldu."
"III. kafli","Alþingi",4,72,1,1,"Eignir og skuldbindingar ríkisins","Ekki má taka lán eða undirgangast ábyrgðir sem skuldbinda ríkið nema með lögum."
"III. kafli","Alþingi",4,72,2,1,"Eignir og skuldbindingar ríkisins","Stjórnvöldum er óheimilt að ábyrgjast fjárhagslegar skuldbindingar einkaaðila."
"III. kafli","Alþingi",4,72,2,2,"Eignir og skuldbindingar ríkisins","Með lögum má þó kveða á um slíka ríkisábyrgð vegna almannahagsmuna."
"III. kafli","Alþingi",4,72,3,1,"Eignir og skuldbindingar ríkisins","Ekki má selja eða láta með öðru móti af hendi fasteignir ríkisins né afnotarétt þeirra nema samkvæmt heimild í lögum."
"III. kafli","Alþingi",4,72,3,2,"Eignir og skuldbindingar ríkisins","Um ráðstöfun annarra eigna ríkisins fer að lögum."
"III. kafli","Alþingi",4,73,1,1,"Þingrof","Forseti Íslands rýfur Alþingi að ályktun þess."
"III. kafli","Alþingi",4,73,1,2,"Þingrof","Skal þá efnt til nýrra kosninga eigi fyrr en sex vikum og eigi síðar en níu vikum frá þingrofi."
"III. kafli","Alþingi",4,73,1,3,"Þingrof","Alþingismenn halda umboði sínu til kjördags."
"III. kafli","Alþingi",4,74,1,1,"Ríkisendurskoðun","Alþingi kýs ríkisendurskoðanda til fimm ára."
"III. kafli","Alþingi",4,74,1,2,"Ríkisendurskoðun","Hann skal vera sjálfstæður í störfum sínum."
"III. kafli","Alþingi",4,74,1,3,"Ríkisendurskoðun","Hann endurskoðar fjárreiður ríkisins, stofnana þess og ríkisfyrirtækja í umboði Alþingis eftir því sem nánar er mælt fyrir um í lögum."
"III. kafli","Alþingi",4,74,2,1,"Ríkisendurskoðun","Endurskoðaðan ríkisreikning næstliðins árs ásamt athugasemdum ríkisendurskoðanda skal leggja fyrir Alþingi til samþykktar samhliða frumvarpi til fjárlaga."
"III. kafli","Alþingi",4,75,1,1,"Umboðsmaður Alþingis","Alþingi kýs umboðsmann Alþingis til fimm ára."
"III. kafli","Alþingi",4,75,1,2,"Umboðsmaður Alþingis","Hann skal vera sjálfstæður í störfum sínum."
"III. kafli","Alþingi",4,75,1,3,"Umboðsmaður Alþingis","Hann gætir að rétti borgaranna og hefur eftirlit með stjórnsýslu ríkis og sveitarfélaga."
"III. kafli","Alþingi",4,75,1,4,"Umboðsmaður Alþingis","Hann gætir þess að jafnræði sé í heiðri haft í stjórnsýslunni og að hún fari að öðru leyti fram í samræmi við lög og vandaða stjórnsýsluhætti."
"III. kafli","Alþingi",4,75,2,1,"Umboðsmaður Alþingis","Ákveði ráðherra eða annað stjórnvald að hlíta ekki sérstökum tilmælum umboðsmanns skal tilkynna forseta Alþingis um ákvörðunina."
"III. kafli","Alþingi",4,75,3,1,"Umboðsmaður Alþingis","Um starfsemi umboðsmanns og hlutverk hans skal nánar mælt fyrir í lögum, þar á meðal um þingmeðferð fyrrgreindrar tilkynningar ráðherra eða annars stjórnvalds."
"IV. kafli","Forseti Íslands",5,76,1,1,"Embættisheiti og þjóðkjör","Forseti Íslands er þjóðhöfðingi lýðveldisins."
"IV. kafli","Forseti Íslands",5,76,1,2,"Embættisheiti og þjóðkjör","Hann er þjóðkjörinn."
"IV. kafli","Forseti Íslands",5,77,1,1,"Kjörgengi","Kjörgengur til forseta er sérhver ríkisborgari sem fullnægir skilyrðum um kjörgengi til Alþingis og er orðinn 35 ára."
"IV. kafli","Forseti Íslands",5,78,1,1,"Forsetakjör","Forseti Íslands er kosinn í leynilegri atkvæðagreiðslu þeirra er kosningarétt hafa til Alþingis."
"IV. kafli","Forseti Íslands",5,78,1,2,"Forsetakjör","Forsetaefni skal hafa meðmæli minnst eins af hundraði kosningabærra manna og mest tveggja af hundraði."
"IV. kafli","Forseti Íslands",5,78,1,3,"Forsetakjör","Kjósendur skulu raða frambjóðendum, einum eða fleirum að eigin vali, í forgangsröð."
"IV. kafli","Forseti Íslands",5,78,1,4,"Forsetakjör","Sá er best uppfyllir forgangsröðun kjósenda, eftir nánari ákvæðum í lögum, er rétt kjörinn forseti."
"IV. kafli","Forseti Íslands",5,78,1,5,"Forsetakjör","Ef aðeins einn maður er í kjöri, er hann rétt kjörinn án atkvæðagreiðslu."
"IV. kafli","Forseti Íslands",5,78,1,6,"Forsetakjör","Að öðru leyti skal ákvarða með lögum um framboð og kosningu forseta Íslands."
"IV. kafli","Forseti Íslands",5,79,1,1,"Kjörtímabil","Kjörtímabil forseta hefst 1. ágúst og endar 31. júlí að fjórum árum liðnum."
"IV. kafli","Forseti Íslands",5,79,1,2,"Kjörtímabil","Forsetakjör fer fram í júní- eða júlímánuði það ár, þegar kjörtímabil endar."
"IV. kafli","Forseti Íslands",5,79,1,3,"Kjörtímabil","Forseti skal ekki sitja lengur en þrjú kjörtímabil."
"IV. kafli","Forseti Íslands",5,80,1,1,"Eiðstafur","Forseti Íslands undirritar eiðstaf að stjórnarskránni þegar hann tekur við störfum."
"IV. kafli","Forseti Íslands",5,81,1,1,"Starfskjör","Forseta Íslands er óheimilt að hafa með höndum önnur launuð störf á meðan hann gegnir embætti."
"IV. kafli","Forseti Íslands",5,81,1,2,"Starfskjör","Sama gildir um störf í þágu einkafyrirtækja og opinberra stofnana þótt ólaunuð séu."
"IV. kafli","Forseti Íslands",5,81,1,3,"Starfskjör","Ákveða skal með lögum greiðslur af ríkisfé til forseta."
"IV. kafli","Forseti Íslands",5,81,1,4,"Starfskjör","Óheimilt er að lækka greiðslur þessar til forseta á meðan kjörtímabil hans stendur."
"IV. kafli","Forseti Íslands",5,82,1,1,"Staðgengill","Geti forseti Íslands ekki gegnt störfum um sinn vegna heilsufars eða af öðrum ástæðum fer forseti Alþingis með forsetavald á meðan."
"IV. kafli","Forseti Íslands",5,83,1,1,"Fráfall","Falli forseti frá eða láti af störfum áður en kjörtímabili er lokið skal kjósa nýjan forseta til 31. júlí á fjórða ári frá kosningu hans."
"IV. kafli","Forseti Íslands",5,84,1,1,"Ábyrgð","Forseti verður ekki sóttur til refsingar nema með samþykki Alþingis."
"IV. kafli","Forseti Íslands",5,84,2,1,"Ábyrgð","Forseta má leysa frá embætti áður en kjörtímabili er lokið, ef það er samþykkt með meirihluta atkvæða við þjóðaratkvæðagreiðslu sem til er stofnað að kröfu Alþingis, enda hafi hún hlotið fylgi 3/4 hluta þingmanna."
"IV. kafli","Forseti Íslands",5,84,2,2,"Ábyrgð","Þjóðaratkvæðagreiðslan skal þá fara fram innan tveggja mánaða frá því að krafan um hana var samþykkt á Alþingi, og gegnir forseti ekki störfum, frá því að Alþingi gerir samþykkt sína, þar til úrslit þjóðaratkvæðagreiðslunnar eru kunn."
"IV. kafli","Forseti Íslands",5,85,1,1,"Náðun og sakaruppgjöf","Forseti Íslands getur náðað menn og veitt almenna uppgjöf saka að tillögu ráðherra."
"IV. kafli","Forseti Íslands",5,85,1,2,"Náðun og sakaruppgjöf","Ráðherra getur hann þó ekki leyst undan refsingu, sem dómstólar hafa dæmt vegna ráðherraábyrgðar, nema með samþykki Alþingis."
"V. kafli","Ráðherrar og ríkisstjórn",6,86,1,1,"Ráðherrar","Ráðherrar eru æðstu handhafar framkvæmdarvalds hver á sínu sviði."
"V. kafli","Ráðherrar og ríkisstjórn",6,86,1,2,"Ráðherrar","Þeir bera hver fyrir sig ábyrgð á málefnum ráðuneyta og stjórnsýslu sem undir þá heyrir."
"V. kafli","Ráðherrar og ríkisstjórn",6,86,2,1,"Ráðherrar","Geti ráðherra ekki fjallað um mál vegna vanhæfis, fjarveru eða annarra ástæðna felur forsætisráðherra það öðrum ráðherra."
"V. kafli","Ráðherrar og ríkisstjórn",6,86,3,1,"Ráðherrar","Enginn getur gegnt sama ráðherraembætti lengur en átta ár."
"V. kafli","Ráðherrar og ríkisstjórn",6,87,1,1,"Ríkisstjórn","Ráðherrar sitja í ríkisstjórn."
"V. kafli","Ráðherrar og ríkisstjórn",6,87,1,2,"Ríkisstjórn","Forsætisráðherra boðar til ríkisstjórnarfunda, stýrir þeim og hefur yfirumsjón með störfum ráðherra."
"V. kafli","Ráðherrar og ríkisstjórn",6,87,2,1,"Ríkisstjórn","Ríkisstjórnarfundi skal halda um frumvörp og tillögur til Alþingis, önnur mikilvæg stjórnarmálefni og til samráðs um störf og stefnumál ríkisstjórnarinnar."
"V. kafli","Ráðherrar og ríkisstjórn",6,87,2,2,"Ríkisstjórn","Þá skal halda ríkisstjórnarfund ef ráðherra óskar þess."
"V. kafli","Ráðherrar og ríkisstjórn",6,87,3,1,"Ríkisstjórn","Ríkisstjórn tekur ákvarðanir sameiginlega um mikilvæg eða stefnumarkandi málefni samkvæmt nánari ákvæðum í lögum."
"V. kafli","Ráðherrar og ríkisstjórn",6,87,3,2,"Ríkisstjórn","Meirihluti ráðherra þarf að vera á fundi þegar slíkar ákvarðanir eru teknar."
"V. kafli","Ráðherrar og ríkisstjórn",6,87,4,1,"Ríkisstjórn","Stjórnarráð Íslands hefur aðsetur í Reykjavík."
"V. kafli","Ráðherrar og ríkisstjórn",6,88,1,1,"Hagsmunaskráning og opinber störf","Ráðherra er óheimilt að hafa með höndum önnur launuð störf á meðan hann gegnir embætti."
"V. kafli","Ráðherrar og ríkisstjórn",6,88,1,2,"Hagsmunaskráning og opinber störf","Sama gildir um störf í þágu einkafyrirtækja og opinberra stofnana þótt ólaunuð séu."
"V. kafli","Ráðherrar og ríkisstjórn",6,88,2,1,"Hagsmunaskráning og opinber störf","Í lögum skal kveðið á um skyldu ráðherra til að veita upplýsingar um fjárhagslega hagsmuni sína."
"V. kafli","Ráðherrar og ríkisstjórn",6,89,1,1,"Ráðherrar og Alþingi","Ráðherrar mæla fyrir frumvörpum og tillögum frá ríkisstjórn, svara fyrirspurnum og taka þátt í umræðum á Alþingi eftir því sem þeir eru til kvaddir, en gæta verða þeir þingskapa."
"V. kafli","Ráðherrar og ríkisstjórn",6,89,2,1,"Ráðherrar og Alþingi","Ráðherrar hafa ekki atkvæðisrétt á Alþingi."
"V. kafli","Ráðherrar og ríkisstjórn",6,89,3,1,"Ráðherrar og Alþingi","Sé alþingismaður skipaður ráðherra víkur hann úr þingsæti á meðan hann gegnir embættinu og tekur varamaður þá sæti hans."
"V. kafli","Ráðherrar og ríkisstjórn",6,90,1,1,"Stjórnarmyndun","Alþingi kýs forsætisráðherra."
"V. kafli","Ráðherrar og ríkisstjórn",6,90,2,1,"Stjórnarmyndun","Eftir að hafa ráðfært sig við þingflokka og þingmenn gerir forseti Íslands tillögu til þingsins um forsætisráðherra."
"V. kafli","Ráðherrar og ríkisstjórn",6,90,2,2,"Stjórnarmyndun","Er hann rétt kjörinn ef meirihluti þingmanna samþykkir tillöguna."
"V. kafli","Ráðherrar og ríkisstjórn",6,90,2,3,"Stjórnarmyndun","Að öðrum kosti gerir forseti Íslands nýja tillögu með sama hætti."
"V. kafli","Ráðherrar og ríkisstjórn",6,90,2,4,"Stjórnarmyndun","Verði sú tillaga ekki samþykkt fer fram kosning í þinginu milli þeirra sem fram eru boðnir af þingmönnum, þingflokkum eða forseta Íslands."
"V. kafli","Ráðherrar og ríkisstjórn",6,90,2,5,"Stjórnarmyndun","Sá er flest atkvæði hlýtur er rétt kjörinn forsætisráðherra."
"V. kafli","Ráðherrar og ríkisstjórn",6,90,3,1,"Stjórnarmyndun","Hafi forsætisráðherra ekki verið kjörinn innan tíu vikna skal Alþingi rofið og boðað til nýrra kosninga."
"V. kafli","Ráðherrar og ríkisstjórn",6,90,4,1,"Stjórnarmyndun","Forsætisráðherra ákveður skipan ráðuneyta og tölu ráðherra og skiptir störfum með þeim, en ráðherrar skulu ekki vera fleiri en tíu."
"V. kafli","Ráðherrar og ríkisstjórn",6,90,5,1,"Stjórnarmyndun","Forseti Íslands skipar forsætisráðherra í embætti."
"V. kafli","Ráðherrar og ríkisstjórn",6,90,5,2,"Stjórnarmyndun","Forseti veitir forsætisráðherra lausn frá embætti eftir alþingiskosningar, ef vantraust er samþykkt á hann á Alþingi, eða ef ráðherrann óskar þess."
"V. kafli","Ráðherrar og ríkisstjórn",6,90,5,3,"Stjórnarmyndun","Forsætisráðherra skipar aðra ráðherra og veitir þeim lausn."
"V. kafli","Ráðherrar og ríkisstjórn",6,90,6,1,"Stjórnarmyndun","Ráðherrar undirrita eiðstaf að stjórnarskránni þegar þeir taka við embætti."
"V. kafli","Ráðherrar og ríkisstjórn",6,91,1,1,"Vantraust","Leggja má fram á Alþingi tillögu um vantraust á ráðherra."
"V. kafli","Ráðherrar og ríkisstjórn",6,91,1,2,"Vantraust","Í tillögu um vantraust á forsætisráðherra skal felast tillaga um eftirmann hans."
"V. kafli","Ráðherrar og ríkisstjórn",6,91,2,1,"Vantraust","Ráðherra er veitt lausn úr embætti ef meirihluti þingmanna samþykkir tillögu um vantraust á hann."
"V. kafli","Ráðherrar og ríkisstjórn",6,91,2,2,"Vantraust","Ríkisstjórn er veitt lausn ef meirihluti þingmanna samþykkir tillögu um vantraust á forsætisráðherra."
"V. kafli","Ráðherrar og ríkisstjórn",6,92,1,1,"Starfsstjórn","Eftir að forsætisráðherra hefur verið veitt lausn ásamt ríkisstjórn sinni situr hún áfram sem starfsstjórn uns ný ríkisstjórn er skipuð."
"V. kafli","Ráðherrar og ríkisstjórn",6,92,1,2,"Starfsstjórn","Sama gildir ef þing er rofið."
"V. kafli","Ráðherrar og ríkisstjórn",6,92,1,3,"Starfsstjórn","Ráðherrar í starfsstjórn taka aðeins þær ákvarðanir sem nauðsynlegar eru til rækslu starfa þeirra."
